id_fato,submission_id,created_at,duracao_segundos,clima,origem,versao_form,description,id_user_tipo,user_tipo,id_emocao_atual,emocao_atual,intensidade_atual,id_emocao_maioria,emocao_maioria,intensidade_maioria,id_emocao_ultimo,emocao_ultimo,intensidade_ultimo,id_causa,causa,pulou_causa
92,f3458d59-0fe3-4da9-8b52-b7f8ee1bbc92,2025-09-25 23:10:13.774709+00,73,null,null,v2.0.0,Bem,2,Aluno,1,ALEGRIA,4,2,OTIMISMO,0,2,OTIMISMO,3,2,ESTUDO,false
91,694b4c64-b274-494b-8720-abf59d4f304e,2025-09-25 23:07:28.686799+00,60,null,null,v2.0.0,Tristeza por prova,2,Aluno,7,TRISTEZA,3,4,INDIFERENÇA,5,6,ANSIEDADE,4,2,ESTUDO,false
90,1765815e-c7eb-4e68-9101-41ba1aa5f29a,2025-09-25 23:06:10.937203+00,55,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,4,2,OTIMISMO,5,1,ALEGRIA,5,4,RELACIONAMENTO,false
89,65f58423-9a07-44cf-8e57-048ca9254533,2025-09-25 23:01:47.10901+00,64,null,null,v2.0.0,,2,Aluno,6,ANSIEDADE,3,4,INDIFERENÇA,4,6,ANSIEDADE,3,1,FAMILIA,false
88,a50450a2-b66d-49c2-8f08-0c5e2e34fe95,2025-09-25 23:00:28.78833+00,118,null,null,v2.0.0,Tô muito bem,2,Aluno,1,ALEGRIA,4,2,OTIMISMO,4,6,ANSIEDADE,5,3,TRABALHO,false
87,1dc12a7d-f5c3-4c5a-a40f-a8f212280472,2025-09-25 22:58:17.071954+00,100,null,null,v2.0.0,no momento com raiva do rejeição do trabalho e apatia devido a prova de Django,2,Aluno,5,RAIVA,4,4,INDIFERENÇA,5,7,TRISTEZA,3,3,TRABALHO,false
86,2ecfecbb-f7f5-4fbc-a089-e60e2acdd3b1,2025-09-25 22:55:49.781403+00,48,null,null,v2.0.0,,1,Professor,4,INDIFERENÇA,5,4,INDIFERENÇA,5,4,INDIFERENÇA,5,1,FAMILIA,false
85,0ed35aa7-896b-491d-bb33-e269fef006f1,2025-09-25 22:54:45.491345+00,157,null,null,v2.0.0,satisfeito pela busca  vitória realização,1,Professor,2,OTIMISMO,4,1,ALEGRIA,3,1,ALEGRIA,4,1,FAMILIA,false
84,991accbe-9302-40e7-b594-67d74537e893,2025-09-25 22:51:13.704344+00,43,null,null,v2.0.0,,2,Aluno,4,INDIFERENÇA,0,4,INDIFERENÇA,5,6,ANSIEDADE,3,4,RELACIONAMENTO,false
83,3a6543d1-a26e-4d1c-9348-cb84fdb57d3f,2025-09-25 22:50:20.345722+00,62,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,5,2,OTIMISMO,4,1,ALEGRIA,4,3,TRABALHO,false
82,fc06dc31-eec5-48eb-a77e-797daff33873,2025-09-25 22:49:06.72582+00,58,null,null,v2.0.0,bem,2,Aluno,2,OTIMISMO,0,3,PAIXÃO,4,1,ALEGRIA,4,2,ESTUDO,false
81,f03df7aa-df25-438c-9a83-475f1b694e71,2025-09-25 22:47:42.949913+00,54,null,null,v2.0.0,otimista,2,Aluno,2,OTIMISMO,5,2,OTIMISMO,5,2,OTIMISMO,5,4,RELACIONAMENTO,false
80,acfe81e2-fed3-47f6-8b30-a67ffaba69df,2025-09-25 22:46:18.684296+00,50,null,null,v2.0.0,ansiosa,2,Aluno,6,ANSIEDADE,3,4,INDIFERENÇA,3,6,ANSIEDADE,4,2,ESTUDO,false
79,c9e6f9a7-c01b-47ba-8765-b5f027c9dc33,2025-09-25 22:45:16.203286+00,39,null,null,v2.0.0,depressiva,2,Aluno,6,ANSIEDADE,0,5,RAIVA,0,7,TRISTEZA,0,2,ESTUDO,false
78,704c9ad2-6bce-43e5-9a7e-e9488bae72c4,2025-09-25 22:44:27.131686+00,66,null,null,v2.0.0,preocupada,2,Aluno,6,ANSIEDADE,3,4,INDIFERENÇA,2,6,ANSIEDADE,2,2,ESTUDO,false
77,abe665ab-8210-4215-9fed-940d72ddd16e,2025-09-25 22:43:12.791783+00,51,null,null,v2.0.0,Preocupado.,2,Aluno,6,ANSIEDADE,4,1,ALEGRIA,3,6,ANSIEDADE,4,2,ESTUDO,false
76,6e6bf2fc-ed9c-4b13-809f-406b8ed6d464,2025-09-25 22:41:51.125141+00,77,null,null,v2.0.0,gripado,1,Professor,1,ALEGRIA,5,2,OTIMISMO,5,2,OTIMISMO,5,2,ESTUDO,false
75,96644762-6f26-47f2-92ab-7bb64a575729,2025-09-25 22:40:02.243917+00,169,null,null,v2.0.0,Alegre,1,Professor,1,ALEGRIA,5,3,PAIXÃO,5,6,ANSIEDADE,5,1,FAMILIA,false
74,77e8744c-82ba-4370-a688-ec73e0633d5b,2025-09-25 22:35:26.860142+00,34,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,5,2,OTIMISMO,3,2,OTIMISMO,4,4,RELACIONAMENTO,false
73,b246672e-cc10-46d4-9af6-6d872f5d820b,2025-09-25 22:33:57.951721+00,64,null,null,v2.0.0,,2,Aluno,6,ANSIEDADE,3,1,ALEGRIA,3,1,ALEGRIA,3,2,ESTUDO,false
72,d0481e21-9934-422e-8f3f-8f774e1f566f,2025-09-25 22:30:04.636567+00,65,null,null,v2.0.0,estou bem. ansioso para uma prova,1,Professor,4,INDIFERENÇA,3,1,ALEGRIA,3,1,ALEGRIA,4,1,FAMILIA,false
71,1be8cad9-e2f2-403c-af97-1fe7873f0102,2025-09-25 22:25:13.32663+00,31,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,4,2,OTIMISMO,5,4,INDIFERENÇA,3,2,ESTUDO,false
70,5a4dcf5b-4e27-4948-b613-454bfa5fdd33,2025-09-25 22:24:18.924327+00,61,null,null,v2.0.0,bem,2,Aluno,4,INDIFERENÇA,3,1,ALEGRIA,4,2,OTIMISMO,4,2,ESTUDO,false
69,a480c44a-c48d-46b0-a461-48e18981af3a,2025-09-25 22:22:25.854095+00,102,null,null,v2.0.0,,2,Aluno,1,ALEGRIA,5,1,ALEGRIA,5,1,ALEGRIA,5,2,ESTUDO,false
68,cef4655f-4619-44c0-9862-3eafc29ed3d9,2025-09-25 22:20:17.247325+00,43,null,null,v2.0.0,,2,Aluno,5,RAIVA,5,6,ANSIEDADE,4,4,INDIFERENÇA,3,3,TRABALHO,false
67,51f4cd64-1799-467e-a144-db35701a8601,2025-09-25 22:19:03.083774+00,55,null,null,v2.0.0,muito feliz,2,Aluno,1,ALEGRIA,5,1,ALEGRIA,5,1,ALEGRIA,5,4,RELACIONAMENTO,false
66,36ae699c-1cee-4465-93a2-520d524375fc,2025-09-25 22:17:24.483443+00,33,null,null,v2.0.0,,2,Aluno,3,PAIXÃO,0,2,OTIMISMO,0,1,ALEGRIA,0,4,RELACIONAMENTO,false
65,9651de27-44e1-4d94-91d2-c8b4774e7a01,2025-09-25 22:15:56.831844+00,148,null,null,v2.0.0,raiva pq o Mateus n vai no orienta,2,Aluno,5,RAIVA,5,4,INDIFERENÇA,2,5,RAIVA,3,4,RELACIONAMENTO,false
64,e29bb38f-2602-4290-bc8f-317e47e3ae74,2025-09-25 22:10:15.614856+00,32,null,null,v2.0.0,meu chefe encheu o saco hoje e quase mandei ele toma no cu,2,Aluno,5,RAIVA,5,5,RAIVA,5,5,RAIVA,5,3,TRABALHO,false
63,553bf4ef-caab-4ef9-984f-04d308d9ad1a,2025-09-25 22:08:57.494229+00,115,null,null,v2.0.0,"Cansado, com fome, porém tá top",1,Professor,2,OTIMISMO,4,4,INDIFERENÇA,4,1,ALEGRIA,3,2,ESTUDO,false
62,2af26ec2-4fd4-4639-8da7-58bbc25031e5,2025-09-25 22:06:39.583328+00,63,null,null,v2.0.0,tô amando o davi,2,Aluno,5,RAIVA,5,1,ALEGRIA,5,3,PAIXÃO,5,4,RELACIONAMENTO,false
61,7b0c9c55-cecd-4a26-b708-39b1452a2449,2025-09-25 22:04:53.625906+00,44,null,null,v2.0.0,normal,2,Aluno,4,INDIFERENÇA,5,4,INDIFERENÇA,5,4,INDIFERENÇA,5,2,ESTUDO,false
60,15884998-f947-49c7-b60d-2e9e8df4f5c6,2025-09-25 22:03:25.595974+00,36,null,null,v2.0.0,Meio mal na vdd,2,Aluno,7,TRISTEZA,4,2,OTIMISMO,3,7,TRISTEZA,4,4,RELACIONAMENTO,false
59,3a0935d4-294b-40e7-af57-d8cac245cef8,2025-09-25 22:02:20.613591+00,141,null,null,v2.0.0,semana de provas,2,Aluno,6,ANSIEDADE,5,6,ANSIEDADE,5,6,ANSIEDADE,5,2,ESTUDO,false
58,2fa3a6b2-cb0b-43da-be35-c09e2c7a3b41,2025-09-25 21:59:44.604254+00,47,null,null,v2.0.0,estou viva,2,Aluno,6,ANSIEDADE,5,4,INDIFERENÇA,3,6,ANSIEDADE,5,2,ESTUDO,false
57,0fb69363-baa4-4356-aa84-d0eccf2f1ae9,2025-09-25 21:58:42.193788+00,26,null,null,v2.0.0,,2,Aluno,2,OTIMISMO,2,4,INDIFERENÇA,2,4,INDIFERENÇA,3,4,RELACIONAMENTO,false
